circuit_key,circuit_short_name,country_name,location,latitude,longitude,coordinate_source_note,circuit_id
2,Silverstone,United Kingdom,Silverstone,52.0733,-1.0147,Permanent track,2
4,Hungaroring,Hungary,Budapest,47.5822,19.2511,Permanent track,4
6,Imola,Italy,Imola,44.3439,11.7167,Permanent track,6
7,Spa-Francorchamps,Belgium,Spa-Francorchamps,50.4372,5.9714,Permanent track,7
9,Austin,United States,Austin,30.1328,-97.6411,Permanent track,9
10,Melbourne,Australia,Melbourne,-37.8497,144.968,Street circuit / park circuit,10
14,Interlagos,Brazil,Sao Paulo,-23.7036,-46.6997,Permanent track,14
15,Catalunya,Spain,Barcelona,41.57,2.2611,Permanent track,15
19,Spielberg,Austria,Spielberg,47.2197,14.7647,Permanent track,19
22,Monte Carlo,Monaco,Monaco,43.7347,7.4206,Street circuit,22
23,Montreal,Canada,Montreal,45.5,-73.5228,Street circuit / park circuit,23
39,Monza,Italy,Monza,45.6156,9.2811,Permanent track,39
46,Suzuka,Japan,Suzuka,34.8431,136.541,Permanent track,46
49,Shanghai,China,Shanghai,31.3389,121.2197,Permanent track,49
55,Zandvoort,Netherlands,Zandvoort,52.3888,4.5409,Permanent track,55
61,Singapore,Singapore,Marina Bay,1.2914,103.864,Street circuit,61
63,Sakhir,Bahrain,Sakhir,26.0325,50.5106,Permanent track,63
65,Mexico City,Mexico,Mexico City,19.4042,-99.0907,Permanent track,65
70,Yas Marina Circuit,United Arab Emirates,Yas Island,24.4672,54.6031,Permanent track,70
144,Baku,Azerbaijan,Baku,40.3725,49.8533,Street circuit,144
149,Jeddah,Saudi Arabia,Jeddah,21.6319,39.1044,Street circuit,149
150,Lusail,Qatar,Lusail,25.49,51.4542,Permanent track,150
151,Miami,United States,Miami Gardens,25.9581,-80.2389,Temporary circuit,151
152,Las Vegas,United States,Las Vegas,36.1162,-115.1745,Street circuit,152
