date,date_id,year,month,day,season,quarter,month_name,round_month_label
2023-03-05,20230305,2023,3,5,2023,1,March,March 2023
2023-03-19,20230319,2023,3,19,2023,1,March,March 2023
2023-04-02,20230402,2023,4,2,2023,2,April,April 2023
2023-04-30,20230430,2023,4,30,2023,2,April,April 2023
2023-05-07,20230507,2023,5,7,2023,2,May,May 2023
2023-05-28,20230528,2023,5,28,2023,2,May,May 2023
2023-06-04,20230604,2023,6,4,2023,2,June,June 2023
2023-06-18,20230618,2023,6,18,2023,2,June,June 2023
2023-07-02,20230702,2023,7,2,2023,3,July,July 2023
2023-07-09,20230709,2023,7,9,2023,3,July,July 2023
2023-07-23,20230723,2023,7,23,2023,3,July,July 2023
2023-07-30,20230730,2023,7,30,2023,3,July,July 2023
2023-08-27,20230827,2023,8,27,2023,3,August,August 2023
2023-09-03,20230903,2023,9,3,2023,3,September,September 2023
2023-09-17,20230917,2023,9,17,2023,3,September,September 2023
2023-09-24,20230924,2023,9,24,2023,3,September,September 2023
2023-10-08,20231008,2023,10,8,2023,4,October,October 2023
2023-10-22,20231022,2023,10,22,2023,4,October,October 2023
2023-10-29,20231029,2023,10,29,2023,4,October,October 2023
2023-11-05,20231105,2023,11,5,2023,4,November,November 2023
2023-11-19,20231119,2023,11,19,2023,4,November,November 2023
2023-11-26,20231126,2023,11,26,2023,4,November,November 2023
2024-03-02,20240302,2024,3,2,2024,1,March,March 2024
2024-03-09,20240309,2024,3,9,2024,1,March,March 2024
2024-03-24,20240324,2024,3,24,2024,1,March,March 2024
2024-04-07,20240407,2024,4,7,2024,2,April,April 2024
2024-04-21,20240421,2024,4,21,2024,2,April,April 2024
2024-05-05,20240505,2024,5,5,2024,2,May,May 2024
2024-05-19,20240519,2024,5,19,2024,2,May,May 2024
2024-05-26,20240526,2024,5,26,2024,2,May,May 2024
2024-06-09,20240609,2024,6,9,2024,2,June,June 2024
2024-06-23,20240623,2024,6,23,2024,2,June,June 2024
2024-06-30,20240630,2024,6,30,2024,2,June,June 2024
2024-07-07,20240707,2024,7,7,2024,3,July,July 2024
2024-07-21,20240721,2024,7,21,2024,3,July,July 2024
2024-07-28,20240728,2024,7,28,2024,3,July,July 2024
2024-08-25,20240825,2024,8,25,2024,3,August,August 2024
2024-09-01,20240901,2024,9,1,2024,3,September,September 2024
2024-09-15,20240915,2024,9,15,2024,3,September,September 2024
2024-09-22,20240922,2024,9,22,2024,3,September,September 2024
2024-10-20,20241020,2024,10,20,2024,4,October,October 2024
2024-10-27,20241027,2024,10,27,2024,4,October,October 2024
2024-11-03,20241103,2024,11,3,2024,4,November,November 2024
2024-11-24,20241124,2024,11,24,2024,4,November,November 2024
2024-12-01,20241201,2024,12,1,2024,4,December,December 2024
2024-12-08,20241208,2024,12,8,2024,4,December,December 2024
2025-03-16,20250316,2025,3,16,2025,1,March,March 2025
2025-03-23,20250323,2025,3,23,2025,1,March,March 2025
2025-04-06,20250406,2025,4,6,2025,2,April,April 2025
2025-04-13,20250413,2025,4,13,2025,2,April,April 2025
2025-04-20,20250420,2025,4,20,2025,2,April,April 2025
2025-05-04,20250504,2025,5,4,2025,2,May,May 2025
2025-05-18,20250518,2025,5,18,2025,2,May,May 2025
2025-05-25,20250525,2025,5,25,2025,2,May,May 2025
2025-06-01,20250601,2025,6,1,2025,2,June,June 2025
2025-06-15,20250615,2025,6,15,2025,2,June,June 2025
2025-06-29,20250629,2025,6,29,2025,2,June,June 2025
2025-07-06,20250706,2025,7,6,2025,3,July,July 2025
2025-07-27,20250727,2025,7,27,2025,3,July,July 2025
2025-08-03,20250803,2025,8,3,2025,3,August,August 2025
2025-08-31,20250831,2025,8,31,2025,3,August,August 2025
2025-09-07,20250907,2025,9,7,2025,3,September,September 2025
2025-09-21,20250921,2025,9,21,2025,3,September,September 2025
2025-10-05,20251005,2025,10,5,2025,4,October,October 2025
2025-10-19,20251019,2025,10,19,2025,4,October,October 2025
2025-10-26,20251026,2025,10,26,2025,4,October,October 2025
2025-11-09,20251109,2025,11,9,2025,4,November,November 2025
2025-11-23,20251123,2025,11,23,2025,4,November,November 2025
2025-11-30,20251130,2025,11,30,2025,4,November,November 2025
2025-12-07,20251207,2025,12,7,2025,4,December,December 2025
