driver_number,full_name,name_acronym,first_name,last_name,country_code,driver_id
1,Max VERSTAPPEN,VER,Max,Verstappen,,1
2,Logan SARGEANT,SAR,Logan,Sargeant,USA,2
3,Daniel RICCIARDO,RIC,Daniel,Ricciardo,AUS,3
4,Lando NORRIS,NOR,Lando,Norris,,4
5,Gabriel BORTOLETO,BOR,Gabriel,Bortoleto,,5
6,Isack HADJAR,HAD,Isack,Hadjar,,6
7,Jack DOOHAN,DOO,Jack,Doohan,,7
10,Pierre GASLY,GAS,Pierre,Gasly,,10
11,Sergio PEREZ,PER,Sergio,Perez,MEX,11
12,Kimi ANTONELLI,ANT,Kimi,Antonelli,,12
14,Fernando ALONSO,ALO,Fernando,Alonso,,14
16,Charles LECLERC,LEC,Charles,Leclerc,,16
18,Lance STROLL,STR,Lance,Stroll,,18
20,Kevin MAGNUSSEN,MAG,Kevin,Magnussen,DEN,20
21,Nyck DE VRIES,DEV,Nyck,De Vries,NED,21
22,Yuki TSUNODA,TSU,Yuki,Tsunoda,,22
23,Alexander ALBON,ALB,Alexander,Albon,,23
24,ZHOU Guanyu,ZHO,Guanyu,Zhou,CHN,24
27,Nico HULKENBERG,HUL,Nico,Hulkenberg,,27
30,Liam LAWSON,LAW,Liam,Lawson,,30
31,Esteban OCON,OCO,Esteban,Ocon,,31
38,Oliver BEARMAN,BEA,Oliver,Bearman,GBR,38
40,Liam LAWSON,LAW,Liam,Lawson,NZL,40
43,Franco COLAPINTO,COL,Franco,Colapinto,,43
44,Lewis HAMILTON,HAM,Lewis,Hamilton,,44
50,Oliver BEARMAN,BEA,Oliver,Bearman,GBR,50
55,Carlos SAINZ,SAI,Carlos,Sainz,,55
61,Jack DOOHAN,DOO,Jack,Doohan,AUS,61
63,George RUSSELL,RUS,George,Russell,,63
77,Valtteri BOTTAS,BOT,Valtteri,Bottas,FIN,77
81,Oscar PIASTRI,PIA,Oscar,Piastri,,81
87,Oliver BEARMAN,BEA,Oliver,Bearman,,87
