meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start,stint_id,stint_length_laps
1229,9472,1,1,1,17,SOFT,3,9472_1_1,17
1229,9472,1,3,1,13,SOFT,3,9472_3_1,13
1229,9472,1,14,1,15,SOFT,3,9472_14_1,15
1229,9472,1,10,1,12,SOFT,0,9472_10_1,12
1229,9472,1,81,1,12,SOFT,3,9472_81_1,12
1229,9472,1,18,1,9,SOFT,0,9472_18_1,9
1229,9472,1,27,1,1,SOFT,0,9472_27_1,1
1229,9472,1,22,1,14,SOFT,0,9472_22_1,14
1229,9472,1,31,1,10,SOFT,0,9472_31_1,10
1229,9472,1,4,1,13,SOFT,3,9472_4_1,13
1229,9472,1,2,1,10,SOFT,0,9472_2_1,10
1229,9472,1,77,1,12,SOFT,0,9472_77_1,12
1229,9472,1,63,1,11,SOFT,3,9472_63_1,11
1229,9472,1,23,1,15,SOFT,0,9472_23_1,15
1229,9472,1,16,1,11,SOFT,3,9472_16_1,11
1229,9472,1,44,1,12,SOFT,3,9472_44_1,12
1229,9472,1,20,1,11,SOFT,0,9472_20_1,11
1229,9472,1,11,1,12,SOFT,3,9472_11_1,12
1229,9472,1,24,1,9,SOFT,0,9472_24_1,9
1229,9472,1,55,1,14,SOFT,3,9472_55_1,14
1229,9472,2,27,2,20,HARD,0,9472_27_2,19
1229,9472,2,24,10,28,HARD,0,9472_24_2,19
1229,9472,2,18,10,27,HARD,0,9472_18_2,18
1229,9472,2,31,11,30,HARD,0,9472_31_2,20
1229,9472,2,2,11,28,HARD,0,9472_2_2,18
1229,9472,2,63,12,31,HARD,0,9472_63_2,20
1229,9472,2,16,12,34,HARD,0,9472_16_2,23
1229,9472,2,20,12,32,HARD,0,9472_20_2,21
1229,9472,2,11,13,36,HARD,0,9472_11_2,24
1229,9472,2,81,13,34,HARD,0,9472_81_2,22
1229,9472,2,44,13,33,HARD,0,9472_44_2,21
1229,9472,2,77,13,30,HARD,0,9472_77_2,18
1229,9472,2,10,13,31,HARD,0,9472_10_2,19
1229,9472,2,4,14,33,HARD,0,9472_4_2,20
1229,9472,2,3,14,35,HARD,0,9472_3_2,22
1229,9472,2,55,15,35,HARD,0,9472_55_2,21
1229,9472,2,22,15,34,HARD,0,9472_22_2,20
1229,9472,2,14,16,41,HARD,0,9472_14_2,26
1229,9472,2,23,16,36,HARD,0,9472_23_2,21
1229,9472,2,1,18,37,HARD,0,9472_1_2,20
1229,9472,3,27,21,41,HARD,0,9472_27_3,21
1229,9472,3,18,28,57,HARD,0,9472_18_3,30
1229,9472,3,24,29,56,HARD,0,9472_24_3,28
1229,9472,3,2,29,40,HARD,0,9472_2_3,12
1229,9472,3,31,31,56,HARD,0,9472_31_3,26
1229,9472,3,63,32,57,HARD,0,9472_63_3,26
1229,9472,3,77,31,56,HARD,0,9472_77_3,26
1229,9472,3,10,32,43,HARD,0,9472_10_3,12
1229,9472,3,20,33,56,HARD,0,9472_20_3,24
1229,9472,3,4,34,57,HARD,0,9472_4_3,24
1229,9472,3,44,34,57,HARD,0,9472_44_3,24
1229,9472,3,16,35,57,HARD,0,9472_16_3,23
1229,9472,3,81,35,57,HARD,0,9472_81_3,23
1229,9472,3,22,35,56,HARD,0,9472_22_3,22
1229,9472,3,55,36,57,HARD,0,9472_55_3,22
1229,9472,3,3,36,56,SOFT,0,9472_3_3,21
1229,9472,3,11,37,57,SOFT,0,9472_11_3,21
1229,9472,3,23,37,56,HARD,0,9472_23_3,20
1229,9472,3,1,38,57,SOFT,0,9472_1_3,20
1229,9472,3,14,42,57,HARD,0,9472_14_3,16
1229,9472,4,2,41,55,SOFT,0,9472_2_4,15
1229,9472,4,27,42,56,SOFT,0,9472_27_4,15
1229,9472,4,10,44,56,SOFT,0,9472_10_4,13
