fact_lap_id,date_id,race_id,circuit_id,driver_id,team_id,stint_id,weather_context_id,session_key,meeting_key,driver_number,lap_number,lap_duration_sec,sector_1_duration_sec,sector_2_duration_sec,sector_3_duration_sec,i1_speed,i2_speed,st_speed,compound,tyre_age_lap,track_temperature_c,air_temperature_c,rainfall_flag,lap_time_delta_to_stint_best_sec,lap_time_delta_to_driver_median_sec,valid_racing_lap_flag,is_pit_lap,pit_window_flag,pit_window_relative_lap,pit_window_phase,position_nearest
1,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,1,105.483,42.923,31.408,31.152,287.0,289.0,326.0,MEDIUM,0,31.79256756756757,26.09189189189189,0,11.692999999999998,11.876000000000005,True,False,False,,,
2,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,2,97.68,36.595,30.654,30.431,284.0,307.0,318.0,MEDIUM,1,31.79256756756757,26.09189189189189,0,3.8900000000000006,4.0730000000000075,True,False,False,,,
3,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,3,96.526,36.02,30.417,30.089,288.0,325.0,342.0,MEDIUM,2,31.79256756756757,26.09189189189189,0,2.73599999999999,2.918999999999997,True,False,False,,,
4,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,4,96.503,36.021,30.177,30.305,286.0,293.0,321.0,MEDIUM,3,31.79256756756757,26.09189189189189,0,2.712999999999994,2.896000000000001,True,False,False,,,
5,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,5,95.359,35.096,30.116,30.147,,308.0,318.0,MEDIUM,4,31.79256756756757,26.09189189189189,0,1.5689999999999884,1.7519999999999953,True,False,False,,,
6,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,6,95.84,35.547,30.1,30.193,287.0,308.0,313.0,MEDIUM,5,31.79256756756757,26.09189189189189,0,2.049999999999997,2.233000000000004,True,False,False,,,
7,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,7,95.687,35.409,30.025,30.253,,321.0,336.0,MEDIUM,6,31.79256756756757,26.09189189189189,0,1.8969999999999914,2.0799999999999983,True,False,False,,,
8,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,8,95.129,35.091,30.143,29.895,284.0,304.0,314.0,MEDIUM,7,31.79256756756757,26.09189189189189,0,1.3389999999999986,1.5220000000000056,True,False,False,,,
9,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,9,95.561,35.45,30.017,30.094,288.0,307.0,325.0,MEDIUM,8,31.79256756756757,26.09189189189189,0,1.7710000000000008,1.9540000000000077,True,False,False,,,
10,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,10,95.443,35.434,30.05,29.959,,307.0,314.0,MEDIUM,9,31.79256756756757,26.09189189189189,0,1.6529999999999916,1.8359999999999985,True,False,False,,,
11,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,11,95.306,35.387,29.767,30.152,287.0,310.0,295.0,MEDIUM,10,31.79256756756757,26.09189189189189,0,1.5159999999999911,1.698999999999998,True,False,False,,,
12,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,12,94.848,34.856,29.984,30.008,288.0,308.0,309.0,MEDIUM,11,31.79256756756757,26.09189189189189,0,1.0579999999999927,1.2409999999999997,True,False,False,,,
13,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,13,95.183,35.069,29.867,30.247,,323.0,334.0,MEDIUM,12,31.79256756756757,26.09189189189189,0,1.3930000000000007,1.5760000000000076,True,False,False,,,
14,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,14,94.2,34.609,29.784,29.807,289.0,307.0,309.0,MEDIUM,13,31.79256756756757,26.09189189189189,0,0.4099999999999966,0.5930000000000035,True,False,False,,,
15,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,15,94.499,34.815,29.832,29.852,288.0,306.0,313.0,MEDIUM,14,31.79256756756757,26.09189189189189,0,0.708999999999989,0.8919999999999959,True,False,False,,,
16,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,16,94.443,34.863,29.584,29.996,,321.0,310.0,MEDIUM,15,31.79256756756757,26.09189189189189,0,0.6529999999999916,0.8359999999999985,True,False,False,,,
17,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,17,93.79,34.315,29.711,29.764,287.0,304.0,310.0,MEDIUM,16,31.79256756756757,26.09189189189189,0,0.0,0.18300000000000693,True,False,False,,,
18,20230319,7779,149,1,12,7779_1_1,7779,7779,1142,1,18,134.348,48.991,40.059,45.298,188.0,149.0,197.0,MEDIUM,17,31.79256756756757,26.09189189189189,0,40.55800000000001,40.741000000000014,True,False,False,,,
19,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,19,167.259,63.956,47.565,55.738,263.0,113.0,106.0,HARD,0,31.79256756756757,26.09189189189189,0,75.35299999999998,73.65199999999999,False,False,False,,,
20,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,20,156.511,56.723,49.419,50.369,155.0,135.0,195.0,HARD,1,31.79256756756757,26.09189189189189,0,64.60499999999999,62.903999999999996,True,False,False,,,
21,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,21,96.946,36.872,29.989,30.085,289.0,303.0,318.0,HARD,2,31.79256756756757,26.09189189189189,0,5.039999999999992,3.3389999999999986,True,False,False,,,
22,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,22,94.973,35.462,29.71,29.801,288.0,307.0,319.0,HARD,3,31.79256756756757,26.09189189189189,0,3.066999999999993,1.3659999999999997,True,False,False,,,
23,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,23,94.115,35.197,29.397,29.521,289.0,318.0,334.0,HARD,4,31.79256756756757,26.09189189189189,0,2.208999999999989,0.5079999999999956,True,False,False,,,
24,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,24,94.146,34.754,29.349,30.043,288.0,322.0,312.0,HARD,5,31.79256756756757,26.09189189189189,0,2.239999999999995,0.5390000000000015,True,False,False,,,
25,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,25,92.933,33.994,29.387,29.552,289.0,305.0,310.0,HARD,6,31.79256756756757,26.09189189189189,0,1.027000000000001,-0.6739999999999924,True,False,False,,,
26,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,26,92.94,34.131,29.347,29.462,290.0,303.0,309.0,HARD,7,31.79256756756757,26.09189189189189,0,1.0339999999999918,-0.6670000000000016,True,False,False,,,
27,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,27,92.838,34.129,29.235,29.474,,304.0,310.0,HARD,8,31.79256756756757,26.09189189189189,0,0.931999999999988,-0.7690000000000055,True,False,False,,,
28,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,28,92.869,34.108,29.273,29.488,,304.0,311.0,HARD,9,31.79256756756757,26.09189189189189,0,0.9629999999999939,-0.7379999999999995,True,False,False,,,
29,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,29,92.67,34.023,29.222,29.425,289.0,304.0,309.0,HARD,10,31.79256756756757,26.09189189189189,0,0.7639999999999958,-0.9369999999999976,True,False,False,,,
30,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,30,92.877,34.18,29.228,29.469,290.0,304.0,312.0,HARD,11,31.79256756756757,26.09189189189189,0,0.9709999999999894,-0.730000000000004,True,False,False,,,
31,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,31,92.382,33.896,29.086,29.4,291.0,306.0,311.0,HARD,12,31.79256756756757,26.09189189189189,0,0.4759999999999991,-1.2249999999999943,True,False,False,,,
32,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,32,92.4,33.879,29.152,29.369,,304.0,312.0,HARD,13,31.79256756756757,26.09189189189189,0,0.4939999999999998,-1.2069999999999936,True,False,False,,,
33,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,33,92.387,33.895,29.164,29.328,290.0,303.0,312.0,HARD,14,31.79256756756757,26.09189189189189,0,0.48099999999999454,-1.2199999999999989,True,False,False,,,
34,20230319,7779,149,1,12,7779_1_2,7779,7779,1142,1,34,92.341,33.965,29.029,29.347,291.0,304.0,311.0,HARD,15,31.79256756756757,26.09189189189189,0,0.43499999999998806,-1.2660000000000053,True,False,False,,,
