fact_pit_id,date_id,race_id,circuit_id,driver_id,team_id,weather_context_id,session_key,meeting_key,driver_number,lap_number,pit_time_utc,pit_duration_sec,lane_duration_sec,stop_duration_sec,pit_window_gain_loss_sec
1,20230604,9102,15,4,8,9102,9102,1211,4,1,2023-06-04T13:05:22.607000+00:00,37.7,37.7,,
2,20230604,9102,15,77,1,9102,9102,1211,77,5,2023-06-04T13:10:42.773000+00:00,23.6,23.6,,-2.3934999999999986
3,20230604,9102,15,27,6,9102,9102,1211,27,8,2023-06-04T13:14:44.785000+00:00,22.2,22.2,,-2.6809999999999996
4,20230604,9102,15,24,1,9102,9102,1211,24,9,2023-06-04T13:16:02.690000+00:00,23.4,23.4,,-1.0064999999999955
5,20230604,9102,15,21,2,9102,9102,1211,21,9,2023-06-04T13:16:07.674000+00:00,22.5,22.5,,-1.0443333333333389
6,20230604,9102,15,22,2,9102,9102,1211,22,10,2023-06-04T13:17:23.938000+00:00,22.1,22.1,,-1.2963333333333367
7,20230604,9102,15,20,6,9102,9102,1211,20,10,2023-06-04T13:17:29.391000+00:00,22.1,22.1,,-1.7833333333333314
8,20230604,9102,15,31,3,9102,9102,1211,31,13,2023-06-04T13:21:24.402000+00:00,22.1,22.1,,-1.2840000000000036
9,20230604,9102,15,18,4,9102,9102,1211,18,14,2023-06-04T13:22:41.917000+00:00,22.3,22.3,,-0.753333333333335
10,20230604,9102,15,55,5,9102,9102,1211,55,15,2023-06-04T13:23:56.212000+00:00,22.3,22.3,,-0.8003333333333345
11,20230604,9102,15,16,5,9102,9102,1211,16,16,2023-06-04T13:25:39.726000+00:00,21.7,21.7,,-0.9448333333333352
12,20230604,9102,15,23,13,9102,9102,1211,23,16,2023-06-04T13:25:48.070000+00:00,23.3,23.3,,-1.4621666666666613
13,20230604,9102,15,81,8,9102,9102,1211,81,17,2023-06-04T13:26:55.740000+00:00,22.3,22.3,,-1.5080000000000076
14,20230604,9102,15,2,13,9102,9102,1211,2,17,2023-06-04T13:27:13.177000+00:00,22.5,22.5,,-2.1631666666666716
15,20230604,9102,15,14,4,9102,9102,1211,14,19,2023-06-04T13:29:32.284000+00:00,22.5,22.5,,-0.49883333333333957
16,20230604,9102,15,10,3,9102,9102,1211,10,19,2023-06-04T13:29:42.394000+00:00,23.3,23.3,,-1.366500000000002
17,20230604,9102,15,4,8,9102,9102,1211,4,22,2023-06-04T13:34:13.936000+00:00,22.8,22.8,,-1.7071666666666658
18,20230604,9102,15,44,9,9102,9102,1211,44,24,2023-06-04T13:36:00.934000+00:00,22.5,22.5,,-1.2688333333333262
19,20230604,9102,15,20,6,9102,9102,1211,20,24,2023-06-04T13:36:51.636000+00:00,24.8,24.8,,-2.5028333333333306
20,20230604,9102,15,63,9,9102,9102,1211,63,25,2023-06-04T13:37:30.510000+00:00,22.2,22.2,,-2.285000000000001
21,20230604,9102,15,1,12,9102,9102,1211,1,26,2023-06-04T13:38:29.056000+00:00,22.2,22.2,,-1.2221666666666686
22,20230604,9102,15,27,6,9102,9102,1211,27,26,2023-06-04T13:39:27.836000+00:00,23.2,23.2,,-2.2310000000000043
23,20230604,9102,15,11,12,9102,9102,1211,11,27,2023-06-04T13:40:19.241000+00:00,21.7,21.7,,-1.5126666666666704
24,20230604,9102,15,18,4,9102,9102,1211,18,34,2023-06-04T13:49:58.247000+00:00,23.3,23.3,,-0.7960000000000065
25,20230604,9102,15,22,2,9102,9102,1211,22,34,2023-06-04T13:50:01.059000+00:00,22.0,22.0,,-1.4786666666666666
26,20230604,9102,15,31,3,9102,9102,1211,31,35,2023-06-04T13:51:21.730000+00:00,24.1,24.1,,-1.606666666666667
27,20230604,9102,15,24,1,9102,9102,1211,24,36,2023-06-04T13:52:48.775000+00:00,22.8,22.8,,-1.6654999999999969
28,20230604,9102,15,2,13,9102,9102,1211,2,36,2023-06-04T13:53:18.056000+00:00,23.8,23.8,,-2.083666666666668
29,20230604,9102,15,23,13,9102,9102,1211,23,37,2023-06-04T13:54:36.804000+00:00,23.4,23.4,,-1.4893333333333345
30,20230604,9102,15,21,2,9102,9102,1211,21,38,2023-06-04T13:55:39.834000+00:00,21.9,21.9,,-1.8443333333333338
31,20230604,9102,15,81,8,9102,9102,1211,81,39,2023-06-04T13:56:52.146000+00:00,22.8,22.8,,-1.8386666666666684
32,20230604,9102,15,10,3,9102,9102,1211,10,39,2023-06-04T13:56:54.067000+00:00,23.6,23.6,,-2.1086666666666645
33,20230604,9102,15,77,1,9102,9102,1211,77,39,2023-06-04T13:57:22.504000+00:00,24.0,24.0,,-2.253
34,20230604,9102,15,55,5,9102,9102,1211,55,41,2023-06-04T13:59:09.768000+00:00,22.3,22.3,,-0.9119999999999967
35,20230604,9102,15,16,5,9102,9102,1211,16,41,2023-06-04T13:59:36.752000+00:00,23.0,23.0,,-1.8531666666666713
36,20230604,9102,15,20,6,9102,9102,1211,20,42,2023-06-04T14:01:22.406000+00:00,22.2,22.2,,-2.712500000000001
37,20230604,9102,15,27,6,9102,9102,1211,27,43,2023-06-04T14:02:29.968000+00:00,24.4,24.4,,-1.1471666666666707
38,20230604,9102,15,14,4,9102,9102,1211,14,44,2023-06-04T14:03:24.420000+00:00,22.8,22.8,,-1.5751666666666726
39,20230604,9102,15,63,9,9102,9102,1211,63,45,2023-06-04T14:04:20.497000+00:00,22.0,22.0,,-1.2923333333333342
40,20230604,9102,15,44,9,9102,9102,1211,44,50,2023-06-04T14:10:45.927000+00:00,22.7,22.7,,-0.43550000000001177
41,20230604,9102,15,11,12,9102,9102,1211,11,50,2023-06-04T14:11:04.287000+00:00,21.5,21.5,,-2.268000000000003
42,20230604,9102,15,4,8,9102,9102,1211,4,50,2023-06-04T14:12:02.129000+00:00,22.0,22.0,,-1.896999999999996
43,20230604,9102,15,1,12,9102,9102,1211,1,52,2023-06-04T14:13:07.441000+00:00,22.3,22.3,,-1.4078333333333337
44,20230618,9110,23,22,2,9110,9110,1212,22,1,2023-06-18T18:04:56.528000+00:00,23.6,23.6,,
45,20230618,9110,23,10,3,9110,9110,1212,10,10,2023-06-18T18:17:04.109000+00:00,27.5,27.5,,26.027166666666663
46,20230618,9110,23,27,6,9110,9110,1212,27,11,2023-06-18T18:18:16.186000+00:00,24.8,24.8,,41.50683333333333
47,20230618,9110,23,18,4,9110,9110,1212,18,11,2023-06-18T18:18:17.999000+00:00,23.7,23.7,,40.757333333333335
48,20230618,9110,23,21,2,9110,9110,1212,21,11,2023-06-18T18:18:21.467000+00:00,24.9,24.9,,40.532333333333334
49,20230618,9110,23,1,12,9110,9110,1212,1,12,2023-06-18T18:19:13.935000+00:00,23.6,23.6,,42.284
50,20230618,9110,23,44,9,9110,9110,1212,44,12,2023-06-18T18:19:24.482000+00:00,24.3,24.3,,41.792500000000004
51,20230618,9110,23,14,4,9110,9110,1212,14,12,2023-06-18T18:19:25.014000+00:00,24.0,24.0,,41.86333333333333
52,20230618,9110,23,31,3,9110,9110,1212,31,12,2023-06-18T18:19:37.606000+00:00,24.4,24.4,,41.679
53,20230618,9110,23,81,8,9110,9110,1212,81,12,2023-06-18T18:19:41.653000+00:00,24.8,24.8,,41.74816666666667
54,20230618,9110,23,4,8,9110,9110,1212,4,12,2023-06-18T18:19:50.356000+00:00,25.8,25.8,,41.55866666666667
55,20230618,9110,23,23,13,9110,9110,1212,23,12,2023-06-18T18:19:50.684000+00:00,25.0,25.0,,41.875166666666665
56,20230618,9110,23,24,1,9110,9110,1212,24,12,2023-06-18T18:19:55.606000+00:00,24.1,24.1,,42.8625
57,20230618,9110,23,63,9,9110,9110,1212,63,12,2023-06-18T18:21:25.245000+00:00,88.9,88.9,,22.251833333333334
58,20230618,9110,23,18,4,9110,9110,1212,18,27,2023-06-18T18:42:47.254000+00:00,23.8,23.8,,-1.2373333333333367
59,20230618,9110,23,27,6,9110,9110,1212,27,31,2023-06-18T18:48:01.826000+00:00,24.2,24.2,,-1.1099999999999994
60,20230618,9110,23,24,1,9110,9110,1212,24,32,2023-06-18T18:49:22.997000+00:00,27.5,27.5,,-0.4661666666666662
61,20230618,9110,23,10,3,9110,9110,1212,10,33,2023-06-18T18:50:39.183000+00:00,24.1,24.1,,-0.6184999999999926
62,20230618,9110,23,22,2,9110,9110,1212,22,34,2023-06-18T18:51:59.213000+00:00,27.5,27.5,,-1.2896666666666665
63,20230618,9110,23,4,8,9110,9110,1212,4,35,2023-06-18T18:53:06.212000+00:00,23.5,23.5,,-1.2333333333333272
64,20230618,9110,23,20,6,9110,9110,1212,20,35,2023-06-18T18:53:59.883000+00:00,24.9,24.9,,-0.9779999999999944
65,20230618,9110,23,31,3,9110,9110,1212,31,36,2023-06-18T18:54:20.679000+00:00,23.6,23.6,,-0.8671666666666624
66,20230618,9110,23,77,1,9110,9110,1212,77,36,2023-06-18T18:54:23.367000+00:00,24.0,24.0,,-0.9450000000000027
67,20230618,9110,23,11,12,9110,9110,1212,11,37,2023-06-18T18:55:29.865000+00:00,23.2,23.2,,-1.3231666666666677
68,20230618,9110,23,81,8,9110,9110,1212,81,37,2023-06-18T18:55:45.818000+00:00,23.4,23.4,,-1.2406666666666648
69,20230618,9110,23,55,5,9110,9110,1212,55,38,2023-06-18T18:56:41.458000+00:00,24.1,24.1,,-0.8658333333333299
70,20230618,9110,23,16,5,9110,9110,1212,16,39,2023-06-18T18:57:57.238000+00:00,24.3,24.3,,-1.0806666666666682
71,20230618,9110,23,44,9,9110,9110,1212,44,40,2023-06-18T18:59:10.596000+00:00,23.7,23.7,,-0.7373333333333296
72,20230618,9110,23,14,4,9110,9110,1212,14,41,2023-06-18T19:00:23.204000+00:00,23.9,23.9,,-0.8063333333333347
73,20230618,9110,23,1,12,9110,9110,1212,1,42,2023-06-18T19:01:35+00:00,23.9,23.9,,-1.0229999999999984
74,20230618,9110,23,21,2,9110,9110,1212,21,50,2023-06-18T19:13:54.658000+00:00,23.7,23.7,,-1.7751666666666637
75,20230618,9110,23,20,6,9110,9110,1212,20,53,2023-06-18T19:17:43.092000+00:00,24.5,24.5,,-1.0486666666666622
76,20230618,9110,23,11,12,9110,9110,1212,11,68,2023-06-18T19:35:21.042000+00:00,23.2,23.2,,-2.1370000000000053
77,20230702,9118,19,20,6,9118,9118,1213,20,1,2023-07-02T13:04:43.005000+00:00,26.5,26.5,,
78,20230702,9118,19,22,2,9118,9118,1213,22,1,2023-07-02T13:05:01.224000+00:00,29.6,29.6,,
79,20230702,9118,19,1,12,9118,9118,1213,1,2,2023-07-02T13:06:14.582000+00:00,16.3,16.3,,-8.110499999999995
80,20230702,9118,19,16,5,9118,9118,1213,16,2,2023-07-02T13:06:16.238000+00:00,16.3,16.3,,-9.284000000000006
81,20230702,9118,19,55,5,9118,9118,1213,55,2,2023-07-02T13:06:17.863000+00:00,16.3,16.3,,-11.592000000000006
82,20230702,9118,19,44,9,9118,9118,1213,44,2,2023-07-02T13:06:20.738000+00:00,16.4,16.4,,-13.656500000000001
83,20230702,9118,19,4,8,9118,9118,1213,4,2,2023-07-02T13:06:23.691000+00:00,18.0,18.0,,-15.500999999999998
84,20230702,9118,19,14,4,9118,9118,1213,14,2,2023-07-02T13:06:25.347000+00:00,16.6,16.6,,-17.04050000000001
85,20230702,9118,19,27,6,9118,9118,1213,27,2,2023-07-02T13:06:26.707000+00:00,16.7,16.7,,-18.223499999999994
86,20230702,9118,19,18,4,9118,9118,1213,18,2,2023-07-02T13:06:28.160000+00:00,16.6,16.6,,-19.849999999999994
87,20230702,9118,19,10,3,9118,9118,1213,10,2,2023-07-02T13:06:29.488000+00:00,16.3,16.3,,-20.5955
88,20230702,9118,19,23,13,9118,9118,1213,23,2,2023-07-02T13:06:31.050000+00:00,16.7,16.7,,-21.187000000000005
89,20230702,9118,19,63,9,9118,9118,1213,63,2,2023-07-02T13:06:36.097000+00:00,17.9,17.9,,-22.5505
90,20230702,9118,19,31,3,9118,9118,1213,31,2,2023-07-02T13:06:37.675000+00:00,18.1,18.1,,-22.997
91,20230702,9118,19,11,12,9118,9118,1213,11,2,2023-07-02T13:06:38.706000+00:00,17.4,17.4,,-25.533499999999997
92,20230702,9118,19,24,1,9118,9118,1213,24,2,2023-07-02T13:06:40.534000+00:00,17.4,17.4,,-26.326000000000008
93,20230702,9118,19,81,8,9118,9118,1213,81,2,2023-07-02T13:06:41.269000+00:00,17.3,17.3,,-27.7425
94,20230702,9118,19,2,13,9118,9118,1213,2,2,2023-07-02T13:06:42.800000+00:00,17.3,17.3,,-28.446999999999996
95,20230702,9118,19,77,1,9118,9118,1213,77,2,2023-07-02T13:06:44.597000+00:00,17.1,17.1,,-29.311500000000002
96,20230702,9118,19,21,2,9118,9118,1213,21,2,2023-07-02T13:06:45.707000+00:00,17.0,17.0,,
97,20230702,9118,19,22,2,9118,9118,1213,22,2,2023-07-02T13:06:50.097000+00:00,16.2,16.2,,
98,20230702,9118,19,20,6,9118,9118,1213,20,2,2023-07-02T13:06:57.519000+00:00,25.6,25.6,,
99,20230702,9118,19,24,1,9118,9118,1213,24,8,2023-07-02T13:14:34.839000+00:00,24.3,24.3,,-1.0843333333333427
100,20230702,9118,19,27,6,9118,9118,1213,27,11,2023-07-02T13:18:03.819000+00:00,21.8,21.8,,
101,20230702,9118,19,21,2,9118,9118,1213,21,12,2023-07-02T13:19:23.521000+00:00,21.3,21.3,,16.536499999999997
102,20230702,9118,19,44,9,9118,9118,1213,44,14,2023-07-02T13:21:33.050000+00:00,21.9,21.9,,0.7538333333333304
103,20230702,9118,19,4,8,9118,9118,1213,4,14,2023-07-02T13:21:34.425000+00:00,21.2,21.2,,0.14050000000000062
104,20230702,9118,19,10,3,9118,9118,1213,10,14,2023-07-02T13:21:42.472000+00:00,21.8,21.8,,0.9050000000000011
105,20230702,9118,19,23,13,9118,9118,1213,23,14,2023-07-02T13:21:44.846000+00:00,21.5,21.5,,0.2960000000000017
106,20230702,9118,19,63,9,9118,9118,1213,63,14,2023-07-02T13:21:46.206000+00:00,22.2,22.2,,-0.2304999999999945
107,20230702,9118,19,31,3,9118,9118,1213,31,14,2023-07-02T13:21:49.221000+00:00,22.0,22.0,,-0.42666666666666464
108,20230702,9118,19,81,8,9118,9118,1213,81,14,2023-07-02T13:21:50.378000+00:00,22.4,22.4,,-0.5180000000000007
109,20230702,9118,19,2,13,9118,9118,1213,2,14,2023-07-02T13:21:55.831000+00:00,23.1,23.1,,-0.9413333333333279
110,20230702,9118,19,16,5,9118,9118,1213,16,15,2023-07-02T13:23:00.314000+00:00,23.4,23.4,,-2.718833333333331
111,20230702,9118,19,55,5,9118,9118,1213,55,15,2023-07-02T13:23:08.314000+00:00,26.2,26.2,,-3.5981666666666663
112,20230702,9118,19,14,4,9118,9118,1213,14,15,2023-07-02T13:23:11.501000+00:00,22.3,22.3,,-3.3319999999999985
113,20230702,9118,19,18,4,9118,9118,1213,18,15,2023-07-02T13:23:19.298000+00:00,24.3,24.3,,-2.7040000000000006
114,20230702,9118,19,77,1,9118,9118,1213,77,21,2023-07-02T13:30:59.930000+00:00,31.7,31.7,,-2.0696666666666728
115,20230702,9118,19,81,8,9118,9118,1213,81,22,2023-07-02T13:32:10.351000+00:00,29.9,29.9,,-0.8793333333333374
116,20230702,9118,19,22,2,9118,9118,1213,22,23,2023-07-02T13:33:18.069000+00:00,27.2,27.2,,-2.9056666666666664
117,20230702,9118,19,1,12,9118,9118,1213,1,24,2023-07-02T13:33:35.443000+00:00,21.3,21.3,,-1.2046666666666632
118,20230702,9118,19,11,12,9118,9118,1213,11,25,2023-07-02T13:35:09.988000+00:00,21.6,21.6,,-1.3699999999999974
119,20230702,9118,19,20,6,9118,9118,1213,20,34,2023-07-02T13:46:31.476000+00:00,22.2,22.2,,-1.8704999999999974
120,20230702,9118,19,18,4,9118,9118,1213,18,36,2023-07-02T13:48:33.021000+00:00,22.0,22.0,,-1.4763333333333315
121,20230702,9118,19,21,2,9118,9118,1213,21,37,2023-07-02T13:50:02.972000+00:00,21.0,21.0,,-1.6034999999999944
