meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1141,7953,1,2,1.0,12.0,SOFT,0
1141,7953,1,22,1.0,10.0,SOFT,0
1141,7953,1,23,1.0,11.0,SOFT,0
1141,7953,1,63,1.0,13.0,SOFT,3
1141,7953,1,18,1.0,15.0,SOFT,3
1141,7953,1,4,1.0,10.0,SOFT,0
1141,7953,1,24,1.0,12.0,SOFT,0
1141,7953,1,44,1.0,12.0,SOFT,3
1141,7953,1,14,1.0,14.0,SOFT,3
1141,7953,1,20,1.0,15.0,HARD,0
1141,7953,1,55,1.0,13.0,SOFT,3
1141,7953,1,10,1.0,9.0,SOFT,0
1141,7953,1,21,1.0,11.0,SOFT,0
1141,7953,1,81,1.0,13.0,SOFT,0
1141,7953,1,16,1.0,13.0,SOFT,0
1141,7953,1,11,1.0,17.0,SOFT,3
1141,7953,1,31,1.0,12.0,SOFT,3
1141,7953,1,77,1.0,11.0,SOFT,0
1141,7953,1,1,1.0,14.0,SOFT,3
1141,7953,1,27,1.0,11.0,SOFT,3
1141,7953,2,10,10.0,25.0,HARD,0
1141,7953,2,22,11.0,26.0,HARD,0
1141,7953,2,4,11.0,17.0,HARD,0
1141,7953,2,77,12.0,29.0,HARD,0
1141,7953,2,23,12.0,26.0,SOFT,0
1141,7953,2,27,12.0,26.0,HARD,0
1141,7953,2,21,12.0,27.0,HARD,0
1141,7953,2,44,13.0,30.0,HARD,0
1141,7953,2,31,13.0,15.0,HARD,0
1141,7953,2,2,13.0,30.0,SOFT,0
1141,7953,2,24,13.0,32.0,HARD,0
1141,7953,2,16,14.0,33.0,HARD,0
1141,7953,2,55,14.0,31.0,HARD,0
1141,7953,2,63,14.0,31.0,HARD,0
1141,7953,2,1,15.0,36.0,SOFT,2
1141,7953,2,14,15.0,34.0,HARD,0
1141,7953,2,18,16.0,30.0,HARD,0
1141,7953,2,20,16.0,29.0,HARD,0
1141,7953,3,31,16.0,32.0,HARD,0
1141,7953,2,11,18.0,34.0,SOFT,2
1141,7953,3,4,18.0,27.0,SOFT,3
1141,7953,3,10,26.0,40.0,HARD,0
1141,7953,3,23,27.0,40.0,HARD,0
1141,7953,3,22,27.0,40.0,HARD,0
1141,7953,3,27,27.0,40.0,HARD,0
1141,7953,3,21,28.0,56.0,HARD,0
1141,7953,4,4,28.0,37.0,MEDIUM,0
1141,7953,3,77,30.0,57.0,HARD,0
1141,7953,3,20,30.0,40.0,SOFT,0
