meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1229,9472,1,1,1,17,SOFT,3
1229,9472,1,3,1,13,SOFT,3
1229,9472,1,14,1,15,SOFT,3
1229,9472,1,10,1,12,SOFT,0
1229,9472,1,81,1,12,SOFT,3
1229,9472,1,18,1,9,SOFT,0
1229,9472,1,27,1,1,SOFT,0
1229,9472,1,22,1,14,SOFT,0
1229,9472,1,31,1,10,SOFT,0
1229,9472,1,4,1,13,SOFT,3
1229,9472,1,2,1,10,SOFT,0
1229,9472,1,77,1,12,SOFT,0
1229,9472,1,63,1,11,SOFT,3
1229,9472,1,23,1,15,SOFT,0
1229,9472,1,16,1,11,SOFT,3
1229,9472,1,44,1,12,SOFT,3
1229,9472,1,20,1,11,SOFT,0
1229,9472,1,11,1,12,SOFT,3
1229,9472,1,24,1,9,SOFT,0
1229,9472,1,55,1,14,SOFT,3
1229,9472,2,27,2,20,HARD,0
1229,9472,2,24,10,28,HARD,0
1229,9472,2,18,10,27,HARD,0
1229,9472,2,31,11,30,HARD,0
1229,9472,2,2,11,28,HARD,0
1229,9472,2,63,12,31,HARD,0
1229,9472,2,16,12,34,HARD,0
1229,9472,2,20,12,32,HARD,0
1229,9472,2,11,13,36,HARD,0
1229,9472,2,81,13,34,HARD,0
1229,9472,2,44,13,33,HARD,0
1229,9472,2,77,13,30,HARD,0
1229,9472,2,10,13,31,HARD,0
1229,9472,2,4,14,33,HARD,0
1229,9472,2,3,14,35,HARD,0
1229,9472,2,55,15,35,HARD,0
1229,9472,2,22,15,34,HARD,0
1229,9472,2,14,16,41,HARD,0
1229,9472,2,23,16,36,HARD,0
1229,9472,2,1,18,37,HARD,0
1229,9472,3,27,21,41,HARD,0
1229,9472,3,18,28,57,HARD,0
1229,9472,3,24,29,56,HARD,0
1229,9472,3,2,29,40,HARD,0
1229,9472,3,31,31,56,HARD,0
1229,9472,3,63,32,57,HARD,0
1229,9472,3,77,31,56,HARD,0
1229,9472,3,10,32,43,HARD,0
1229,9472,3,20,33,56,HARD,0
1229,9472,3,4,34,57,HARD,0
1229,9472,3,44,34,57,HARD,0
1229,9472,3,16,35,57,HARD,0
1229,9472,3,81,35,57,HARD,0
1229,9472,3,22,35,56,HARD,0
1229,9472,3,55,36,57,HARD,0
1229,9472,3,3,36,56,SOFT,0
1229,9472,3,11,37,57,SOFT,0
1229,9472,3,23,37,56,HARD,0
1229,9472,3,1,38,57,SOFT,0
1229,9472,3,14,42,57,HARD,0
1229,9472,4,2,41,55,SOFT,0
1229,9472,4,27,42,56,SOFT,0
1229,9472,4,10,44,56,SOFT,0
