time,temperature_2m,relative_humidity_2m,precipitation,rain,cloud_cover,wind_speed_10m,wind_gusts_10m,session_key,circuit_key,weather_date,latitude,longitude
2023-03-05T00:00,19.1,59,0.0,0.0,0,11.5,18.0,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T01:00,18.2,63,0.0,0.0,0,10.5,15.5,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T02:00,17.8,66,0.0,0.0,0,10.5,13.7,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T03:00,17.4,69,0.0,0.0,0,9.6,13.3,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T04:00,19.1,62,0.0,0.0,2,8.2,12.2,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T05:00,22.1,44,0.0,0.0,1,4.9,10.8,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T06:00,24.8,29,0.0,0.0,3,2.5,10.4,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T07:00,27.2,23,0.0,0.0,0,5.4,13.3,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T08:00,28.9,20,0.0,0.0,0,9.1,19.8,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T09:00,30.2,18,0.0,0.0,0,8.6,20.5,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T10:00,31.4,15,0.0,0.0,0,6.0,19.8,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T11:00,32.2,14,0.0,0.0,0,5.9,16.9,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T12:00,32.2,15,0.0,0.0,0,8.1,17.3,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T13:00,32.0,16,0.0,0.0,0,10.1,18.4,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T14:00,30.6,18,0.0,0.0,0,10.9,18.4,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T15:00,27.9,23,0.0,0.0,0,9.8,16.2,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T16:00,26.3,25,0.0,0.0,0,10.1,13.3,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T17:00,25.1,29,0.0,0.0,0,10.5,14.0,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T18:00,24.3,31,0.0,0.0,0,9.7,14.0,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T19:00,23.5,37,0.0,0.0,0,11.2,14.0,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T20:00,21.9,48,0.0,0.0,0,9.0,14.4,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T21:00,20.6,58,0.0,0.0,0,7.7,11.5,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T22:00,20.1,62,0.0,0.0,0,6.3,9.4,7953,63,2023-03-05,26.0325,50.5106
2023-03-05T23:00,19.6,66,0.0,0.0,0,6.4,8.6,7953,63,2023-03-05,26.0325,50.5106
2023-03-19T00:00,22.4,47,0.0,0.0,53,14.1,18.4,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T01:00,21.5,47,0.0,0.0,93,14.4,19.1,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T02:00,21.0,47,0.0,0.0,96,12.4,19.1,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T03:00,19.6,44,0.0,0.0,7,10.9,15.8,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T04:00,18.9,41,0.0,0.0,10,9.5,13.7,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T05:00,22.5,29,0.0,0.0,18,6.5,11.2,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T06:00,26.2,20,0.0,0.0,6,0.5,10.8,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T07:00,28.4,23,0.0,0.0,16,11.0,20.5,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T08:00,29.9,22,0.0,0.0,1,14.8,27.7,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T09:00,30.6,24,0.0,0.0,66,17.6,31.7,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T10:00,30.6,31,0.0,0.0,56,22.1,37.8,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T11:00,29.8,40,0.0,0.0,0,27.4,44.3,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T12:00,29.4,38,0.0,0.0,30,27.9,47.2,7779,149,2023-03-19,21.6319,39.1044
2023-03-19T13:00,29.0,36,0.0,0.0,5,26.1,45.0,7779,149,2023-03-19,21.6319,39.1044
