time,temperature_2m,relative_humidity_2m,precipitation,rain,cloud_cover,wind_speed_10m,wind_gusts_10m,session_key
2024-03-02T00:00,12.9,76,0.0,0.0,75,14.8,19.8,9472
2024-03-02T01:00,13.6,73,0.0,0.0,89,14.3,20.2,9472
2024-03-02T02:00,13.2,74,0.0,0.0,97,13.0,19.1,9472
2024-03-02T03:00,12.7,79,0.0,0.0,90,11.5,17.6,9472
2024-03-02T04:00,14.2,73,0.0,0.0,100,10.6,14.4,9472
2024-03-02T05:00,16.5,56,0.0,0.0,97,12.1,19.1,9472
2024-03-02T06:00,17.9,46,0.0,0.0,100,11.4,21.6,9472
2024-03-02T07:00,18.8,42,0.0,0.0,100,10.5,21.2,9472
2024-03-02T08:00,19.6,39,0.0,0.0,97,10.4,22.3,9472
2024-03-02T09:00,20.4,36,0.0,0.0,100,11.2,23.4,9472
2024-03-02T10:00,20.9,34,0.0,0.0,100,12.5,25.2,9472
2024-03-02T11:00,21.2,30,0.0,0.0,100,12.7,25.6,9472
2024-03-02T12:00,21.1,27,0.0,0.0,100,11.6,25.2,9472
2024-03-02T13:00,20.5,27,0.0,0.0,98,11.3,22.0,9472
2024-03-02T14:00,19.6,33,0.0,0.0,100,11.8,20.9,9472
2024-03-02T15:00,18.2,41,0.0,0.0,99,11.5,19.1,9472
2024-03-02T16:00,17.4,47,0.0,0.0,100,9.2,16.6,9472
2024-03-02T17:00,16.8,53,0.0,0.0,99,8.0,12.6,9472
2024-03-02T18:00,15.9,59,0.0,0.0,100,7.9,10.8,9472
2024-03-02T19:00,14.9,63,0.0,0.0,99,7.8,9.7,9472
2024-03-02T20:00,14.1,69,0.0,0.0,94,7.6,9.4,9472
2024-03-02T21:00,13.7,75,0.0,0.0,95,7.7,9.4,9472
2024-03-02T22:00,13.3,79,0.0,0.0,100,8.1,9.7,9472
2024-03-02T23:00,12.9,80,0.0,0.0,73,8.4,9.7,9472
