circuit_key,circuit_short_name,country_name,location,latitude,longitude,source_note
2,Silverstone,United Kingdom,Silverstone,52.0733,-1.0147,Permanent track
4,Hungaroring,Hungary,Budapest,47.5822,19.2511,Permanent track
6,Imola,Italy,Imola,44.3439,11.7167,Permanent track
7,Spa-Francorchamps,Belgium,Spa-Francorchamps,50.4372,5.9714,Permanent track
9,Austin,United States,Austin,30.1328,-97.6411,Permanent track
10,Melbourne,Australia,Melbourne,-37.8497,144.9680,Street circuit / park circuit
14,Interlagos,Brazil,Sao Paulo,-23.7036,-46.6997,Permanent track
15,Catalunya,Spain,Barcelona,41.5700,2.2611,Permanent track
19,Spielberg,Austria,Spielberg,47.2197,14.7647,Permanent track
22,Monte Carlo,Monaco,Monaco,43.7347,7.4206,Street circuit
23,Montreal,Canada,Montreal,45.5000,-73.5228,Street circuit / park circuit
39,Monza,Italy,Monza,45.6156,9.2811,Permanent track
46,Suzuka,Japan,Suzuka,34.8431,136.5410,Permanent track
49,Shanghai,China,Shanghai,31.3389,121.2197,Permanent track
55,Zandvoort,Netherlands,Zandvoort,52.3888,4.5409,Permanent track
61,Singapore,Singapore,Marina Bay,1.2914,103.8640,Street circuit
63,Sakhir,Bahrain,Sakhir,26.0325,50.5106,Permanent track
65,Mexico City,Mexico,Mexico City,19.4042,-99.0907,Permanent track
70,Yas Marina Circuit,United Arab Emirates,Yas Island,24.4672,54.6031,Permanent track
144,Baku,Azerbaijan,Baku,40.3725,49.8533,Street circuit
149,Jeddah,Saudi Arabia,Jeddah,21.6319,39.1044,Street circuit
150,Lusail,Qatar,Lusail,25.4900,51.4542,Permanent track
151,Miami,United States,Miami Gardens,25.9581,-80.2389,Temporary circuit
152,Las Vegas,United States,Las Vegas,36.1162,-115.1745,Street circuit
